epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.182,1.89543,1.15874,0.00944,0.86011,0.82234,0.89335,0.41103,2.00528,0.8095,0.00975,9.98832e-05,9.98832e-05,0.0668055
2,243.041,1.72372,0.90168,0.00864,0.84392,0.85787,0.90175,0.42873,1.97223,0.69296,0.00942,0.000199871,0.000199871,0.0335721
3,363.462,1.67908,0.83322,0.00828,0.8117,0.87528,0.88697,0.4056,1.97636,0.72266,0.00944,0.00029981,0.00029981,0.000338751
4,482.571,1.60511,0.78109,0.00779,0.87195,0.87817,0.92547,0.49973,1.75437,0.64186,0.0081,0.000299835,0.000299835,0.000299835
5,601.35,1.56292,0.71271,0.00764,0.85594,0.9048,0.93149,0.41058,2.03367,0.67695,0.01025,0.000299707,0.000299707,0.000299707
6,720.497,1.58393,0.70783,0.00768,0.88444,0.88063,0.93886,0.43943,1.94845,0.65102,0.00953,0.000299542,0.000299542,0.000299542
7,839.191,1.56303,0.71,0.00764,0.89729,0.88494,0.94386,0.48961,1.79782,0.60782,0.00841,0.000299341,0.000299341,0.000299341
8,957.259,1.55281,0.71055,0.00767,0.89351,0.89444,0.94834,0.46593,1.88196,0.62735,0.00884,0.000299103,0.000299103,0.000299103
9,1076.37,1.52233,0.65622,0.00722,0.89301,0.90392,0.95257,0.47997,1.89647,0.61473,0.00909,0.000298829,0.000298829,0.000298829
10,1198.09,1.52784,0.69132,0.00747,0.90535,0.89018,0.94683,0.44162,1.97223,0.63984,0.00946,0.000298519,0.000298519,0.000298519
11,1318.34,1.52232,0.67775,0.0074,0.8887,0.90525,0.95222,0.51716,1.72454,0.59525,0.00788,0.000298172,0.000298172,0.000298172
12,1438.42,1.50214,0.67219,0.00747,0.91175,0.91032,0.95947,0.49898,1.80868,0.5783,0.00852,0.000297789,0.000297789,0.000297789
13,1559.16,1.49171,0.66719,0.00716,0.91734,0.8826,0.95006,0.45942,1.89104,0.59605,0.00905,0.00029737,0.00029737,0.00029737
14,1680.02,1.50605,0.65096,0.00743,0.88261,0.916,0.9478,0.46622,1.88822,0.59573,0.00901,0.000296915,0.000296915,0.000296915
15,1803.49,1.55667,0.66752,0.00746,0.92209,0.88115,0.94793,0.42113,2.02451,0.64269,0.00993,0.000296424,0.000296424,0.000296424
16,1922.94,1.54525,0.65802,0.00706,0.89968,0.92555,0.94679,0.44062,1.96901,0.60223,0.0095,0.000295897,0.000295897,0.000295897
17,2041.17,1.49081,0.65349,0.00706,0.90188,0.90186,0.94199,0.42296,2.03783,0.64881,0.00999,0.000295335,0.000295335,0.000295335
18,2159.77,1.5249,0.66438,0.00722,0.90431,0.9154,0.95022,0.47434,1.88603,0.58248,0.00903,0.000294737,0.000294737,0.000294737
19,2278.26,1.51481,0.69545,0.00727,0.89606,0.91896,0.95106,0.48644,1.81344,0.56441,0.00848,0.000294104,0.000294104,0.000294104
20,2396.78,1.49128,0.68268,0.00717,0.91702,0.91878,0.96043,0.49686,1.81481,0.55544,0.00857,0.000293435,0.000293435,0.000293435
21,2515.28,1.45789,0.63466,0.00704,0.87977,0.93909,0.96036,0.51857,1.72965,0.5895,0.00803,0.000292732,0.000292732,0.000292732
22,2634.11,1.48088,0.69784,0.00718,0.9279,0.92724,0.96575,0.5203,1.73258,0.5622,0.00807,0.000291994,0.000291994,0.000291994
23,2753.01,1.52248,0.68479,0.00746,0.8936,0.92724,0.94916,0.49727,1.78004,0.56419,0.00834,0.000291221,0.000291221,0.000291221
24,2871.64,1.49004,0.63596,0.0071,0.8886,0.93127,0.95576,0.48361,1.85096,0.55641,0.00871,0.000290413,0.000290413,0.000290413
25,2990.25,1.50379,0.64299,0.00719,0.91078,0.93232,0.95419,0.4935,1.81994,0.56511,0.00839,0.000289572,0.000289572,0.000289572
26,3108.74,1.51225,0.61688,0.00726,0.92895,0.91878,0.9608,0.50626,1.7849,0.53884,0.00828,0.000288696,0.000288696,0.000288696
27,3227.08,1.44615,0.6505,0.00677,0.90403,0.94078,0.96419,0.48688,1.82081,0.57596,0.00855,0.000287787,0.000287787,0.000287787
28,3345.54,1.47408,0.64268,0.0071,0.90156,0.92975,0.96479,0.50955,1.76676,0.54966,0.00829,0.000286843,0.000286843,0.000286843
29,3464.79,1.48375,0.62941,0.0072,0.89727,0.9357,0.96601,0.46896,1.8683,0.57148,0.00896,0.000285867,0.000285867,0.000285867
30,3583.47,1.44118,0.63945,0.00691,0.92194,0.91878,0.96624,0.49321,1.85272,0.5837,0.00877,0.000284857,0.000284857,0.000284857
31,3703.59,1.44394,0.61142,0.00675,0.90971,0.93232,0.96309,0.54483,1.66488,0.54139,0.00762,0.000283814,0.000283814,0.000283814
32,3824.94,1.4633,0.62597,0.00697,0.92351,0.93063,0.96435,0.49208,1.84814,0.56536,0.0088,0.000282739,0.000282739,0.000282739
33,3944.04,1.48838,0.63773,0.00699,0.92414,0.92759,0.96604,0.48931,1.84954,0.54213,0.00872,0.000281632,0.000281632,0.000281632
34,4064.44,1.45965,0.64672,0.00695,0.93087,0.93909,0.97192,0.5136,1.77817,0.54016,0.00838,0.000280492,0.000280492,0.000280492
35,4186.23,1.47832,0.5903,0.00706,0.91856,0.91878,0.9617,0.49895,1.78214,0.56636,0.00841,0.00027932,0.00027932,0.00027932
36,4304.62,1.43568,0.58286,0.00683,0.92928,0.91162,0.96009,0.53686,1.69883,0.54754,0.00782,0.000278117,0.000278117,0.000278117
37,4422.85,1.45555,0.62507,0.00708,0.93323,0.92226,0.96286,0.50855,1.7731,0.57104,0.00829,0.000276883,0.000276883,0.000276883
38,4541.61,1.4815,0.66482,0.00699,0.93308,0.90863,0.96239,0.47153,1.89273,0.57027,0.00906,0.000275617,0.000275617,0.000275617
39,4659.79,1.43988,0.55618,0.00694,0.92545,0.9357,0.96954,0.46693,1.91961,0.55992,0.00912,0.000274321,0.000274321,0.000274321
40,4777.93,1.42983,0.59229,0.00663,0.93727,0.91006,0.97237,0.55258,1.65204,0.52079,0.0076,0.000272995,0.000272995,0.000272995
