epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1789,1.71227,1.24907,1.36194,0.87084,0.89509,0.93607,0.48216,1.59225,0.91213,1.35056,0.0671542,0.000331776,0.000331776
2,54.8307,1.67895,0.98836,1.33808,0.87913,0.91072,0.9304,0.47011,1.6018,0.92948,1.35635,0.034154,0.000664947,0.000664947
3,80.8522,1.64804,0.95812,1.31676,0.87668,0.8781,0.92982,0.48986,1.60437,0.8842,1.35009,0.00115323,0.000997467,0.000997467
4,106.187,1.60053,0.88857,1.30194,0.89301,0.90355,0.95097,0.51944,1.56551,0.8226,1.33478,0.000997803,0.000997803,0.000997803
5,131.958,1.58801,0.86071,1.28652,0.90478,0.90037,0.95385,0.51866,1.52186,0.80946,1.30711,0.000996097,0.000996097,0.000996097
6,157.016,1.56194,0.84096,1.26959,0.86579,0.92778,0.93821,0.51525,1.54174,0.80259,1.32188,0.000993906,0.000993906,0.000993906
7,181.978,1.58021,0.85433,1.2881,0.88071,0.92555,0.95332,0.51046,1.60427,0.78611,1.35108,0.000991232,0.000991232,0.000991232
8,207.491,1.58296,0.83325,1.29727,0.92195,0.88156,0.95238,0.5307,1.52733,0.7483,1.30001,0.000988079,0.000988079,0.000988079
9,232.981,1.54929,0.79069,1.26069,0.90894,0.92555,0.95643,0.5257,1.54276,0.74297,1.31009,0.000984449,0.000984449,0.000984449
10,258.244,1.54179,0.8174,1.24487,0.89647,0.89376,0.95243,0.53301,1.51434,0.79994,1.30104,0.000980345,0.000980345,0.000980345
11,284.047,1.54684,0.80627,1.24384,0.89008,0.92724,0.95412,0.53484,1.50545,0.75483,1.29085,0.000975773,0.000975773,0.000975773
12,309.307,1.53166,0.7576,1.24855,0.92916,0.9099,0.96582,0.53118,1.52878,0.72151,1.31058,0.000970736,0.000970736,0.000970736
13,334.395,1.52704,0.79039,1.24544,0.90367,0.93401,0.96151,0.55161,1.4835,0.71277,1.29104,0.000965239,0.000965239,0.000965239
14,359.341,1.53708,0.78053,1.24917,0.91839,0.91709,0.9651,0.54548,1.50737,0.70489,1.29091,0.000959289,0.000959289,0.000959289
15,384.354,1.53005,0.77205,1.24864,0.91435,0.92127,0.96008,0.54589,1.50582,0.71276,1.28701,0.000952889,0.000952889,0.000952889
16,409.337,1.49222,0.73735,1.23653,0.90412,0.94078,0.96541,0.54835,1.47384,0.72489,1.27285,0.000946048,0.000946048,0.000946048
17,434.233,1.49132,0.74048,1.22595,0.91613,0.9057,0.959,0.53865,1.51455,0.71568,1.30117,0.000938772,0.000938772,0.000938772
18,459.251,1.48439,0.76496,1.23113,0.9039,0.9231,0.95828,0.53933,1.52404,0.72987,1.3095,0.000931067,0.000931067,0.000931067
19,484.277,1.49331,0.76139,1.24327,0.91852,0.8934,0.95663,0.54662,1.47375,0.71554,1.27053,0.000922942,0.000922942,0.000922942
20,509.362,1.48011,0.7464,1.21934,0.92312,0.91431,0.95997,0.5643,1.46541,0.68461,1.2648,0.000914405,0.000914405,0.000914405
21,534.524,1.45474,0.71108,1.21999,0.91561,0.92893,0.96195,0.55863,1.47878,0.70044,1.2744,0.000905463,0.000905463,0.000905463
22,559.522,1.47012,0.72489,1.20528,0.92954,0.92724,0.95978,0.55512,1.48057,0.67586,1.27151,0.000896127,0.000896127,0.000896127
23,584.498,1.48149,0.74989,1.22505,0.90444,0.93232,0.96114,0.54712,1.48584,0.70013,1.27541,0.000886404,0.000886404,0.000886404
24,609.443,1.45646,0.70778,1.21942,0.94849,0.90353,0.96758,0.55742,1.48572,0.67445,1.27551,0.000876305,0.000876305,0.000876305
25,634.522,1.46644,0.7125,1.22297,0.91484,0.93401,0.96748,0.54806,1.47916,0.7078,1.27817,0.000865839,0.000865839,0.000865839
26,659.295,1.47782,0.72757,1.21558,0.91929,0.92893,0.96852,0.54966,1.50495,0.68581,1.29118,0.000855018,0.000855018,0.000855018
27,684.06,1.43432,0.70767,1.18184,0.92444,0.9154,0.96507,0.55447,1.49168,0.66208,1.27886,0.000843851,0.000843851,0.000843851
28,708.874,1.46498,0.70358,1.21638,0.93516,0.92893,0.96768,0.56276,1.4955,0.65042,1.27271,0.000832349,0.000832349,0.000832349
29,733.674,1.4513,0.69298,1.21675,0.9301,0.9231,0.96531,0.5648,1.45145,0.64956,1.26261,0.000820525,0.000820525,0.000820525
30,758.528,1.45162,0.72389,1.20765,0.91435,0.93932,0.96961,0.55911,1.46211,0.67476,1.26604,0.000808389,0.000808389,0.000808389
31,783.346,1.47856,0.71741,1.19933,0.94014,0.93401,0.97013,0.54663,1.50139,0.67452,1.28031,0.000795954,0.000795954,0.000795954
32,808.165,1.49356,0.71532,1.22945,0.92336,0.9377,0.97014,0.55681,1.46932,0.69366,1.26116,0.000783231,0.000783231,0.000783231
33,833.07,1.47544,0.71515,1.21348,0.94118,0.92555,0.97027,0.56386,1.45907,0.66248,1.2574,0.000770234,0.000770234,0.000770234
