epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3353,1.79373,1.24705,1.49675,0.85883,0.88663,0.92876,0.49936,1.62845,0.97998,1.38767,0.0670771,0.000332555,0.000332555
2,133.093,1.70397,1.02673,1.44381,0.8869,0.90225,0.9257,0.44978,1.77939,0.90747,1.44446,0.0340771,0.000665847,0.000665847
3,198.099,1.72068,1.01019,1.43762,0.91308,0.88663,0.94134,0.4489,1.79759,0.86689,1.45843,0.00107686,0.000998977,0.000998977
4,262.879,1.69906,0.99389,1.44048,0.87799,0.90099,0.92463,0.37633,1.9366,1.17632,1.55964,0.00099945,0.00099945,0.00099945
5,328.232,1.65179,0.97331,1.39568,0.88159,0.93739,0.9288,0.49095,1.62087,0.81173,1.36035,0.000999023,0.000999023,0.000999023
6,394.003,1.64431,0.8598,1.38171,0.89837,0.88243,0.9496,0.49181,1.66504,0.84099,1.38107,0.000998474,0.000998474,0.000998474
7,459.094,1.64504,0.89677,1.3966,0.89506,0.92368,0.95037,0.45297,1.7921,0.81409,1.44263,0.000997803,0.000997803,0.000997803
8,524.754,1.6704,0.93091,1.40604,0.92836,0.90863,0.96124,0.46825,1.75162,0.78537,1.43126,0.000997011,0.000997011,0.000997011
9,589.648,1.60284,0.85737,1.37205,0.86309,0.91878,0.946,0.4707,1.74094,0.81953,1.42812,0.000996097,0.000996097,0.000996097
10,654.369,1.64731,0.92804,1.3723,0.90491,0.8934,0.9558,0.50769,1.63692,0.79599,1.36218,0.000995062,0.000995062,0.000995062
11,718.938,1.59041,0.87245,1.36021,0.89576,0.90525,0.94895,0.45524,1.78006,0.82631,1.43946,0.000993906,0.000993906,0.000993906
12,783.709,1.56794,0.85551,1.36159,0.90538,0.93232,0.95999,0.48754,1.66599,0.79527,1.37976,0.000992629,0.000992629,0.000992629
13,849.783,1.58742,0.86853,1.37195,0.89221,0.93836,0.9643,0.50246,1.67142,0.72736,1.37956,0.000991232,0.000991232,0.000991232
14,915.28,1.59712,0.84869,1.35145,0.91073,0.9154,0.95974,0.4729,1.69661,0.80623,1.38683,0.000989715,0.000989715,0.000989715
15,979.743,1.55443,0.84553,1.32985,0.92867,0.90694,0.94794,0.45773,1.77187,0.80251,1.42598,0.000988079,0.000988079,0.000988079
16,1045.05,1.59155,0.84117,1.33925,0.90896,0.9154,0.95902,0.49304,1.71237,0.74586,1.40266,0.000986323,0.000986323,0.000986323
17,1109.81,1.58143,0.82723,1.3525,0.90786,0.92555,0.95522,0.45161,1.82725,0.7567,1.45908,0.000984449,0.000984449,0.000984449
